date,skill,location,count
2024-01-01,Go,Remote,30
2024-01-01,Python,New York,79
2024-01-01,Java,London,43
2024-01-01,JavaScript,London,115
2024-01-01,Data Science,London,111
2024-01-01,DevOps,New York,45
2024-01-02,Go,New York,93
2024-01-02,Python,Remote,29
2024-01-02,Java,New York,119
2024-01-02,JavaScript,New York,72
2024-01-02,Data Science,London,119
2024-01-02,DevOps,Remote,101
2024-01-03,Go,London,41
2024-01-03,Python,Remote,47
2024-01-03,Java,London,60
2024-01-03,JavaScript,New York,110
2024-01-03,Data Science,Remote,107
2024-01-03,DevOps,Remote,26
2024-01-04,Go,London,51
2024-01-04,Python,Remote,33
2024-01-04,Java,Remote,18
2024-01-04,JavaScript,London,61
2024-01-04,Data Science,New York,69
2024-01-04,DevOps,London,66
2024-01-05,Go,London,29
2024-01-05,Python,London,79
2024-01-05,Java,Remote,65
2024-01-05,JavaScript,London,68
2024-01-05,Data Science,New York,80
2024-01-05,DevOps,San Francisco,88
2024-01-06,Go,San Francisco,113
2024-01-06,Python,New York,119
2024-01-06,Java,New York,105
2024-01-06,JavaScript,London,106
2024-01-06,Data Science,San Francisco,75
2024-01-06,DevOps,San Francisco,76
2024-01-07,Go,London,30
2024-01-07,Python,London,101
2024-01-07,Java,Remote,106
2024-01-07,JavaScript,London,86
2024-01-07,Data Science,Remote,100
2024-01-07,DevOps,London,85
2024-01-08,Go,London,118
2024-01-08,Python,San Francisco,70
2024-01-08,Java,Remote,52
2024-01-08,JavaScript,New York,16
2024-01-08,Data Science,London,34
2024-01-08,DevOps,London,117
2024-01-09,Go,San Francisco,61
2024-01-09,Python,London,48
2024-01-09,Java,London,74
2024-01-09,JavaScript,London,118
2024-01-09,Data Science,New York,86
2024-01-09,DevOps,Remote,52
2024-01-10,Go,New York,73
2024-01-10,Python,Remote,71
2024-01-10,Java,San Francisco,72
2024-01-10,JavaScript,London,69
2024-01-10,Data Science,Remote,23
2024-01-10,DevOps,Remote,78
2024-01-11,Go,San Francisco,27
2024-01-11,Python,London,110
2024-01-11,Java,London,33
2024-01-11,JavaScript,New York,16
2024-01-11,Data Science,London,15
2024-01-11,DevOps,New York,89
2024-01-12,Go,San Francisco,93
2024-01-12,Python,New York,46
2024-01-12,Java,New York,94
2024-01-12,JavaScript,Remote,111
2024-01-12,Data Science,Remote,100
2024-01-12,DevOps,New York,34
2024-01-13,Go,London,55
2024-01-13,Python,San Francisco,103
2024-01-13,Java,San Francisco,84
2024-01-13,JavaScript,San Francisco,75
2024-01-13,Data Science,Remote,91
2024-01-13,DevOps,London,25
2024-01-14,Go,San Francisco,100
2024-01-14,Python,Remote,32
2024-01-14,Java,London,79
2024-01-14,JavaScript,San Francisco,64
2024-01-14,Data Science,San Francisco,81
2024-01-14,DevOps,New York,63
2024-01-15,Go,London,28
2024-01-15,Python,New York,24
2024-01-15,Java,Remote,59
2024-01-15,JavaScript,New York,113
2024-01-15,Data Science,London,18
2024-01-15,DevOps,Remote,56
2024-01-16,Go,Remote,72
2024-01-16,Python,London,30
2024-01-16,Java,San Francisco,74
2024-01-16,JavaScript,San Francisco,34
2024-01-16,Data Science,Remote,70
2024-01-16,DevOps,San Francisco,73
2024-01-17,Go,New York,101
2024-01-17,Python,London,85
2024-01-17,Java,San Francisco,19
2024-01-17,JavaScript,San Francisco,97
2024-01-17,Data Science,New York,20
2024-01-17,DevOps,San Francisco,72
2024-01-18,Go,New York,76
2024-01-18,Python,San Francisco,31
2024-01-18,Java,San Francisco,115
2024-01-18,JavaScript,San Francisco,35
